funcid,dim,milestone,error
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
10,10,1,2.327810e+03
10,10,2,2.194009e+03
10,10,3,2.127858e+03
10,10,5,2.127858e+03
10,10,10,2.127858e+03
10,10,20,2.127858e+03
10,10,30,2.127858e+03
10,10,40,2.127858e+03
10,10,50,2.127858e+03
10,10,60,2.127858e+03
10,10,70,2.127858e+03
10,10,80,2.127858e+03
10,10,90,2.127858e+03
10,10,100,2.127858e+03
